[INFO ]16:59:31,245, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-17-1467104178-56985
[INFO ]16:59:31,245, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 2 perf-921600-17-1467104178-56985
[INFO ]16:59:31,245, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 94 perf-921600-17-1467104178-56985
[INFO ]16:59:31,245, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-17-1467104178-56985
[INFO ]16:59:31,245, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 6513 perf-921600-17-1467104178-56985
[INFO ]16:59:31,245, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 149361 perf-921600-17-1467104178-56985
[INFO ]16:59:31,246, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 28779 perf-921600-17-1467104178-56985
[INFO ]17:00:02,177, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2841 perf-921600-13-1467104178-42608
[INFO ]17:00:02,177, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 102 perf-921600-13-1467104178-42608
[INFO ]17:00:02,177, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-13-1467104178-42608
[INFO ]17:00:02,178, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 1 perf-921600-13-1467104178-42608
[INFO ]17:00:02,178, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 7 perf-921600-13-1467104178-42608
[INFO ]17:00:02,178, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 404 perf-921600-13-1467104178-42608
[INFO ]17:00:02,178, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 0 perf-921600-13-1467104178-42608
[INFO ]17:00:02,178, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 5489 perf-921600-13-1467104178-42608
[INFO ]17:00:02,179, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 180967 perf-921600-13-1467104178-42608
[INFO ]17:00:02,179, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 14355 perf-921600-13-1467104178-42608
[INFO ]17:01:43,221, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2367 perf-921600-12-1467104351-89889
[INFO ]17:01:43,222, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 1 perf-921600-12-1467104351-89889
[INFO ]17:01:43,222, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 1 perf-921600-12-1467104351-89889
[INFO ]17:01:43,222, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-12-1467104351-89889
